1749045710.1934328 | Node Node9944 | [BOOT] | Starting Orbit Node for ORB.B77AC60F52529B834E4DAF21 (Node9944)
1749045710.2441902 | Node Node9944 | [DISCOVERY] | Added new peer: Node5786
1749045710.2569385 | Node Node9944 | [DISCOVERY] | Added new peer: Node7863
1749045727.8217862 | Node Node5516 | [BOOT] | Starting Orbit Node for system (Node5516)
1749045727.9798207 | Node Node5516 | [DISCOVERY] | Added new peer: Node5786
1749045727.9806497 | Node Node5516 | [DISCOVERY] | Added new peer: Node7863
1749045727.981287 | Node Node5516 | [DISCOVERY] | Added new peer: Node9944
1749045730.3021822 | Node Node9944 | [DISCOVERY] | Added new peer: Node5516
1749051990.4936614 | Node Node9944 | [INFO] | Validating Block.
1749055016.2095373 | Node Node5516 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6c62480>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749055017.3620486 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6c630b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749058763.5944252 | Node Node9944 | [INFO] | Validating Block.
1749058886.1129932 | Node Node9944 | [INFO] | Validating Block.
1749059313.2391748 | Node Node5516 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6ccfd70>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059315.1107738 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6d04260>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059318.1490662 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37ca2810>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059325.1224077 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6d05310>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059325.90237 | Node Node9944 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37ce5340>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059328.158529 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37ce5280>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059335.1293962 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6c630b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059338.166579 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37d44230>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059343.2433524 | Node Node5516 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6c62570>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059345.1379044 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6dff920>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059348.1723762 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37ce4560>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059355.1433253 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce79a7dd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059425.2667189 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6c61b50>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059428.299364 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37ca2f30>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059433.525499 | Node Node5516 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce700b9e0>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059435.274317 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6ccfa10>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059438.305338 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37d04080>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059445.2797134 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6ccf0b0>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059446.0364938 | Node Node9944 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37e3c440>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059448.3131745 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37e3d460>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059455.2853632 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6ccf590>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059458.3189182 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37d07e60>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059463.5325153 | Node Node5516 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6ccf050>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059465.2946668 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6c62ae0>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059468.3266406 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37ca3c20>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059475.3007047 | Node Node5516 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7ce6c63e00>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059476.044449 | Node Node9944 | [HEARTBEAT] | Exception: HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /node_ping (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c37ce5400>: Failed to establish a new connection: [Errno 111] Connection refused'))
1749059478.3367183 | Node Node9944 | [DISCOVERY ERROR] | HTTPConnectionPool(host='127.0.0.1', port=7000): Max retries exceeded with url: /active_nodes (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7c381ebdd0>: Failed to establish a new connection: [Errno 111] Connection refused'))
